timestamp,message_id,session_id,device_id,sensor_name,sensor_time,yaw,pitch,roll,qx,qy,qz,qw
2025-08-20T19:49:34.378621,3660,948158b7-b235-4d44-8629-e9b9d5125918,7aa2c20a-c9f7-44a1-9e77-824116d449d8,orientation,1755733773432361700,1.469912129943751,0.04563441732519248,-0.053129195330291604,-0.034726020851268566,0.004406312342912448,-0.6696939240425712,-0.7418117591984943
2025-08-20T19:49:34.378656,3660,948158b7-b235-4d44-8629-e9b9d5125918,7aa2c20a-c9f7-44a1-9e77-824116d449d8,orientation,1755733773482449700,1.4699241435582828,0.04561858681965635,-0.05315648178889168,-0.03472931798634392,0.004421533137067425,-0.6696981814443332,-0.7418077058144971
2025-08-20T19:49:34.378670,3660,948158b7-b235-4d44-8629-e9b9d5125918,7aa2c20a-c9f7-44a1-9e77-824116d449d8,orientation,1755733773532536800,1.4699271193357213,0.04560232465630068,-0.05316819010978001,-0.034727222049122534,0.004431275239477333,-0.6696993698543188,-0.7418066026821252
2025-08-20T19:49:34.378681,3660,948158b7-b235-4d44-8629-e9b9d5125918,7aa2c20a-c9f7-44a1-9e77-824116d449d8,orientation,1755733773582623700,1.4698773003090455,0.04561881531962039,-0.05316858635761975,-0.03473335499030483,0.0044267574952380736,-0.6696805974417493,-0.741823263008041
2025-08-20T19:49:34.378691,3660,948158b7-b235-4d44-8629-e9b9d5125918,7aa2c20a-c9f7-44a1-9e77-824116d449d8,orientation,1755733773632710400,1.4698650832295743,0.04560845350611209,-0.053161393838082514,-0.03472707700898786,0.004427778735371563,-0.6696763663530984,-0.7418274904004639
2025-08-20T19:49:34.378700,3660,948158b7-b235-4d44-8629-e9b9d5125918,7aa2c20a-c9f7-44a1-9e77-824116d449d8,orientation,1755733773682797300,1.469869292667046,0.04560275508331201,-0.0531744142812118,-0.034729336155707884,0.004434444649054887,-0.6696778036345666,-0.7418259997972515
2025-08-20T19:49:34.378710,3660,948158b7-b235-4d44-8629-e9b9d5125918,7aa2c20a-c9f7-44a1-9e77-824116d449d8,orientation,1755733773732884700,1.4698917512578877,0.04561421652427209,-0.0531826450170909,-0.03473638758334411,0.004433265248042738,-0.6696857887932031,-0.7418184978793039
2025-08-20T19:49:34.378719,3660,948158b7-b235-4d44-8629-e9b9d5125918,7aa2c20a-c9f7-44a1-9e77-824116d449d8,orientation,1755733773782971600,1.4698970560860478,0.04562872727459205,-0.053168653361183885,-0.034737090551214184,0.004423118149755794,-0.6696877453813097,-0.741816760204301
2025-08-20T19:49:34.378728,3660,948158b7-b235-4d44-8629-e9b9d5125918,7aa2c20a-c9f7-44a1-9e77-824116d449d8,orientation,1755733773833059600,1.4698846478484553,0.045633152913580124,-0.0531603962526062,-0.03473593713281947,0.004418787806434095,-0.669683207541177,-0.7418209665579167
2025-08-20T19:49:34.378738,3660,948158b7-b235-4d44-8629-e9b9d5125918,7aa2c20a-c9f7-44a1-9e77-824116d449d8,orientation,1755733773883146500,1.469874852046026,0.04561986324147001,-0.053149707295084156,-0.03472741328634203,0.004419448559728343,-0.6696799936774728,-0.7418242359979597
2025-08-20T19:49:34.378747,3660,948158b7-b235-4d44-8629-e9b9d5125918,7aa2c20a-c9f7-44a1-9e77-824116d449d8,orientation,1755733773933233400,1.4698937469147004,0.045621796449589476,-0.053138573833565066,-0.0347244439857166,0.004414342275437801,-0.6696871625719746,-0.741817910973646
2025-08-20T19:49:34.378757,3660,948158b7-b235-4d44-8629-e9b9d5125918,7aa2c20a-c9f7-44a1-9e77-824116d449d8,orientation,1755733773983320600,1.46988270322576,0.04561703644604718,-0.053128248627122635,-0.03471920076496848,0.004412298679641109,-0.6696833323616116,-0.7418215550525418
2025-08-20T19:49:34.378766,3660,948158b7-b235-4d44-8629-e9b9d5125918,7aa2c20a-c9f7-44a1-9e77-824116d449d8,orientation,1755733774033407500,1.4698987330066282,0.045612915999304664,-0.053151811474311444,-0.034725597625884196,0.004422142979683044,-0.6696889380111697,-0.7418161971308174
2025-08-20T19:49:34.378777,3660,948158b7-b235-4d44-8629-e9b9d5125918,7aa2c20a-c9f7-44a1-9e77-824116d449d8,orientation,1755733774083494400,1.469890771114691,0.045610072169036925,-0.053128018693313725,-0.03471655829451014,0.004414410716506543,-0.6696864456177638,-0.7418189587108177
2025-08-20T19:49:34.378786,3660,948158b7-b235-4d44-8629-e9b9d5125918,7aa2c20a-c9f7-44a1-9e77-824116d449d8,orientation,1755733774133581600,1.469864495568761,0.04560062699256119,-0.05311023253517411,-0.034707046308983185,0.004411435749707234,-0.6696771753065763,-0.7418277552795596
2025-08-20T19:49:34.378796,3660,948158b7-b235-4d44-8629-e9b9d5125918,7aa2c20a-c9f7-44a1-9e77-824116d449d8,orientation,1755733774183669500,1.469855060863733,0.0455944843461599,-0.05309732000212919,-0.03470042718483353,0.004408868642117235,-0.6696740093009481,-0.7418308972363988
2025-08-20T19:49:34.378805,3660,948158b7-b235-4d44-8629-e9b9d5125918,7aa2c20a-c9f7-44a1-9e77-824116d449d8,orientation,1755733774233756400,1.469850518621276,0.045593152312872816,-0.05308033146041394,-0.03469423393593609,0.004403093757142011,-0.6696726403008548,-0.7418325027097789
2025-08-20T19:49:34.378814,3660,948158b7-b235-4d44-8629-e9b9d5125918,7aa2c20a-c9f7-44a1-9e77-824116d449d8,orientation,1755733774283843600,1.469851338955217,0.04558441955571933,-0.05307293508617136,-0.03468852165115991,0.004403265550504976,-0.66967322225728,-0.7418323102650476
